Reference, Value, Footprint, Datasheet
U1,nrf51822,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,
C1,12pF,SMD_Packages:SMD-0603,
C2,12pF,SMD_Packages:SMD-0603,
C12,100nF,SMD_Packages:SMD-0603,
C10,100nF,SMD_Packages:SMD-0603,
C11,100nF,SMD_Packages:SMD-0603,
C9,47nF,SMD_Packages:SMD-0603,
C7,1nF,SMD_Packages:SMD-0603,
X2,32.768kHz,Omat:FC-135_SMD_CRYSTAL,
C3,12pF,SMD_Packages:SMD-0603,
C4,12pF,SMD_Packages:SMD-0603,
U3,S25FL1-K,SMD_Packages:SOIC-8-W,
SW1,SW_PUSH,Omat:SKTDLDE010,
SW2,SW_PUSH,Omat:SKTDLDE010,
SW3,SW_PUSH,Omat:SKTDLDE010,
SW4,SW_PUSH,Omat:SKTDLDE010,
R1,10M,SMD_Packages:SMD-0603,
R2,2.2M,SMD_Packages:SMD-0603,
C14,22nF,SMD_Packages:SMD-0603,
P1,CONN_6,Omat:TC2030-MCP-NL,
X1,16MHz,Omat:CRYSTAL_SMD_2520_4PADS,
C22,100nF,SMD_Packages:SMD-0603,
TP7,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP6,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP5,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP3,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP2,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP4,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U5,LTC4063,Housings_DFN_QFN:DFN-10-1EP_3x3mm_Pitch0.5mm,
CON1,USB-MICRO-B,Omat:USB_MICRO_B_FEMALE_MIDMOUNT,
F1,MF-FSMF050X-2,SMD_Packages:SMD-0603,
R4,0,SMD_Packages:SMD-0603,
C20,10nF,SMD_Packages:SMD-0603,
C29,100nF,SMD_Packages:SMD-0603,
C26,100nF,SMD_Packages:SMD-0603,
C27,4.7uF,SMD_Packages:SMD-0603,
C23,100nF,SMD_Packages:SMD-0603,
D1,LED,LEDs:LED-0603,
C25,100nF,SMD_Packages:SMD-0603,
R6,6k25,SMD_Packages:SMD-0603,
R9,1K,SMD_Packages:SMD-0603,
C21,1uF,SMD_Packages:SMD-0603,
BT1,BATTERY,SMD_Packages:SMD-1210,
R11,160k,SMD_Packages:SMD-0603,
R10,500k,SMD_Packages:SMD-0603,
U4,74AHC1G14,SMD_Packages:SOT-353,
R5,3k,SMD_Packages:SMD-0603,
U7,TPS61093,Omat:SON-10-1EP_2.6x2.6mm_Pitch0.5mm,
C30,4.7uF,SMD_Packages:SMD-0603,
L4,10uH,Omat:4012-Metric-Handsolder,
C32,100nF,SMD_Packages:SMD-0603,
C31,1uF,SMD_Packages:SMD-0603,
R12,200k,SMD_Packages:SMD-0603,
C33,100nF,SMD_Packages:SMD-0603,
R13,240k,SMD_Packages:SMD-0603,
R14,10k,SMD_Packages:SMD-0603,
U6,FT230XQ,Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm,
TP10,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP9,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP8,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
TP11,TST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
R7,0,SMD_Packages:SMD-0603,
ANT1,2450AT42B100,Omat:ANTENNA_2.4GHz_SMD_2450AT42B100,
L1,4.7nH,SMD_Packages:SMD-0402,
L2,10nH,SMD_Packages:SMD-0402,
C5,2.2nF,SMD_Packages:SMD-0402,
C6,2.2pF,SMD_Packages:SMD-0402,
C8,1pF,SMD_Packages:SMD-0402,
L3,3.3nH,SMD_Packages:SMD-0402,
C13,1.5pF,SMD_Packages:SMD-0402,
U2,ER-OLED015-1,Omat:ER-OLED-CON30-BOTTOM-CONTACT,
C17,10u,SMD_Packages:SMD-0603,
C19,100n,SMD_Packages:SMD-0603,
C36,4.7u,SMD_Packages:SMD-0603,
C15,1u,SMD_Packages:SMD-0603,
R3,50R,SMD_Packages:SMD-0603,
C18,100n,SMD_Packages:SMD-0603,
C16,10u,SMD_Packages:SMD-0603,
C35,1u,SMD_Packages:SMD-0603,
R15,560K,SMD_Packages:SMD-0603,
U8,MMBD4148SE,SMD_Packages:SOT-23,
